                                                                24.05.2024 15:07
________________________________________________________________________________



Curve Name:
  !$]3[PHBV_non-isothermal_10K/min_2-Spline !$]3[PHBV_non-isothermal_10K/min_2
Curve Values:
          Index              t             Ts             Tr           Wert
                           [s]           [°C]           [°C]        [Wg^-1]
              0              0        190,000        190,000              0
              1              1        189,833        189,833              0
              2              2        189,667        189,667              0
              3              3        189,500        189,500              0
              4              4        189,333        189,333              0
              5              5        189,167        189,167              0
              6              6        189,000        189,000              0
              7              7        188,833        188,833              0
              8              8        188,667        188,667              0
              9              9        188,500        188,500              0
             10             10        188,333        188,333              0
             11             11        188,167        188,167              0
             12             12        188,000        188,000              0
             13             13        187,833        187,833              0
             14             14        187,667        187,667              0
             15             15        187,500        187,500              0
             16             16        187,333        187,333              0
             17             17        187,167        187,167              0
             18             18        187,000        187,000              0
             19             19        186,833        186,833              0
             20             20        186,667        186,667              0
             21             21        186,500        186,500              0
             22             22        186,333        186,333              0
             23             23        186,167        186,167              0
             24             24        186,000        186,000              0
             25             25        185,833        185,833              0
             26             26        185,667        185,667              0
             27             27        185,500        185,500              0
             28             28        185,333        185,333              0
             29             29        185,167        185,167              0
             30             30        185,000        185,000              0
             31             31        184,833        184,833              0
             32             32        184,667        184,667              0
             33             33        184,500        184,500              0
             34             34        184,333        184,333              0
             35             35        184,167        184,167              0
             36             36        184,000        184,000              0
             37             37        183,833        183,833              0
             38             38        183,667        183,667              0
             39             39        183,500        183,500              0
             40             40        183,333        183,333              0
             41             41        183,167        183,167              0
             42             42        183,000        183,000              0
             43             43        182,833        182,833              0
             44             44        182,667        182,667              0
             45             45        182,500        182,500              0
             46             46        182,333        182,333              0
             47             47        182,167        182,167              0
             48             48        182,000        182,000              0
             49             49        181,833        181,833              0
             50             50        181,667        181,667              0
             51             51        181,500        181,500              0
             52             52        181,333        181,333              0
             53             53        181,167        181,167              0
             54             54        181,000        181,000              0
             55             55        180,833        180,833              0
             56             56        180,667        180,667              0
             57             57        180,500        180,500              0
             58             58        180,333        180,333              0
             59             59        180,167        180,167              0
             60             60        180,000        180,000              0
             61             61        179,833        179,833              0
             62             62        179,667        179,667              0
             63             63        179,500        179,500              0
             64             64        179,333        179,333              0
             65             65        179,167        179,167              0
             66             66        179,000        179,000              0
             67             67        178,833        178,833              0
             68             68        178,667        178,667              0
             69             69        178,500        178,500              0
             70             70        178,333        178,333              0
             71             71        178,167        178,167              0
             72             72        178,000        178,000              0
             73             73        177,833        177,833              0
             74             74        177,667        177,667              0
             75             75        177,500        177,500              0
             76             76        177,333        177,333              0
             77             77        177,167        177,167              0
             78             78        177,000        177,000              0
             79             79        176,833        176,833              0
             80             80        176,667        176,667              0
             81             81        176,500        176,500              0
             82             82        176,333        176,333              0
             83             83        176,167        176,167              0
             84             84        176,000        176,000              0
             85             85        175,833        175,833              0
             86             86        175,667        175,667              0
             87             87        175,500        175,500              0
             88             88        175,333        175,333              0
             89             89        175,167        175,167              0
             90             90        175,000        175,000              0
             91             91        174,833        174,833              0
             92             92        174,667        174,667              0
             93             93        174,500        174,500              0
             94             94        174,333        174,333              0
             95             95        174,167        174,167              0
             96             96        174,000        174,000              0
             97             97        173,833        173,833              0
             98             98        173,667        173,667              0
             99             99        173,500        173,500              0
            100            100        173,333        173,333              0
            101            101        173,167        173,167              0
            102            102        173,000        173,000              0
            103            103        172,833        172,833              0
            104            104        172,667        172,667              0
            105            105        172,500        172,500              0
            106            106        172,333        172,333              0
            107            107        172,167        172,167              0
            108            108        172,000        172,000              0
            109            109        171,833        171,833              0
            110            110        171,667        171,667              0
            111            111        171,500        171,500              0
            112            112        171,333        171,333              0
            113            113        171,167        171,167              0
            114            114        171,000        171,000              0
            115            115        170,833        170,833              0
            116            116        170,667        170,667              0
            117            117        170,500        170,500              0
            118            118        170,333        170,333              0
            119            119        170,167        170,167              0
            120            120        170,000        170,000              0
            121            121        169,833        169,833              0
            122            122        169,667        169,667              0
            123            123        169,500        169,500              0
            124            124        169,333        169,333              0
            125            125        169,167        169,167              0
            126            126        169,000        169,000              0
            127            127        168,833        168,833              0
            128            128        168,667        168,667              0
            129            129        168,500        168,500              0
            130            130        168,333        168,333              0
            131            131        168,167        168,167              0
            132            132        168,000        168,000              0
            133            133        167,833        167,833              0
            134            134        167,667        167,667              0
            135            135        167,500        167,500              0
            136            136        167,333        167,333              0
            137            137        167,167        167,167              0
            138            138        167,000        167,000              0
            139            139        166,833        166,833              0
            140            140        166,667        166,667              0
            141            141        166,500        166,500              0
            142            142        166,333        166,333              0
            143            143        166,167        166,167              0
            144            144        166,000        166,000              0
            145            145        165,833        165,833              0
            146            146        165,667        165,667              0
            147            147        165,500        165,500              0
            148            148        165,333        165,333              0
            149            149        165,167        165,167              0
            150            150        165,000        165,000              0
            151            151        164,833        164,833              0
            152            152        164,667        164,667              0
            153            153        164,500        164,500              0
            154            154        164,333        164,333              0
            155            155        164,167        164,167              0
            156            156        164,000        164,000              0
            157            157        163,833        163,833              0
            158            158        163,667        163,667              0
            159            159        163,500        163,500              0
            160            160        163,333        163,333              0
            161            161        163,167        163,167              0
            162            162        163,000        163,000              0
            163            163        162,833        162,833              0
            164            164        162,667        162,667              0
            165            165        162,500        162,500              0
            166            166        162,333        162,333              0
            167            167        162,167        162,167              0
            168            168        162,000        162,000              0
            169            169        161,833        161,833              0
            170            170        161,667        161,667              0
            171            171        161,500        161,500              0
            172            172        161,333        161,333              0
            173            173        161,167        161,167              0
            174            174        161,000        161,000              0
            175            175        160,833        160,833              0
            176            176        160,667        160,667              0
            177            177        160,500        160,500              0
            178            178        160,333        160,333              0
            179            179        160,167        160,167              0
            180            180        160,000        160,000              0
            181            181        159,833        159,833              0
            182            182        159,667        159,667              0
            183            183        159,500        159,500              0
            184            184        159,333        159,333              0
            185            185        159,167        159,167              0
            186            186        159,000        159,000              0
            187            187        158,833        158,833              0
            188            188        158,667        158,667              0
            189            189        158,500        158,500              0
            190            190        158,333        158,333              0
            191            191        158,167        158,167              0
            192            192        158,000        158,000              0
            193            193        157,833        157,833              0
            194            194        157,667        157,667              0
            195            195        157,500        157,500              0
            196            196        157,333        157,333              0
            197            197        157,167        157,167              0
            198            198        157,000        157,000              0
            199            199        156,833        156,833              0
            200            200        156,667        156,667              0
            201            201        156,500        156,500              0
            202            202        156,333        156,333              0
            203            203        156,167        156,167              0
            204            204        156,000        156,000              0
            205            205        155,833        155,833              0
            206            206        155,667        155,667              0
